sequence,sequence_index,bvec,TR,readout,spin,x,y,z,longitudinal,transverse,phase,Sx,Sy
dwi.seq,1,0,1,1,75,-57.95051826446805,351.0508391966352,204.13068877626336,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,76,-221.36975084945192,216.03426081573386,314.83013040297686,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,77,420.71806702235534,-399.6091832735551,-275.2018759951552,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,78,405.4630433853236,182.26391355041383,93.02261196732945,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,79,-15.922774629909329,165.94714919987646,357.8689960426361,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,80,-329.37037161615035,-308.57847202231585,87.80643406472915,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,81,390.6579419376875,349.9733848353203,-34.41941624781918,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,82,461.4972099869307,-406.0881831440534,-398.2381666922804,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,83,2.1149726474480204,32.01928021534196,164.41140380875257,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,84,482.8143335341409,-164.7305357962862,-389.9516122187422,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,85,5.591871953324359,421.31780005787436,-135.095980042408,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,86,-290.3011885475595,-482.94554012083506,300.0360543571335,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,87,313.1347375691072,325.5660336033018,312.2434720867511,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,88,452.37141120832,-200.1814002671709,32.88895858498576,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,89,357.0060847156095,-248.52414758745715,-396.54282124139803,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,90,-250.94943879315758,-250.78865322120237,247.01844893600358,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,91,-30.5471478255384,63.94684101162732,29.886356509682287,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,92,-19.265209638010884,-439.54553678123136,-338.25814159381355,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,93,-493.295906561471,454.8255608584451,245.48330767412062,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,94,116.77710898249404,-404.70188663698093,-338.0914514120783,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,95,-259.99624495042036,161.20757227211146,-413.5532883531291,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,96,-114.0320458993882,308.98986341491485,434.51837074767553,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,97,-397.6151197905111,-405.9025027546535,-314.98408572330584,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,98,-367.39298602855627,117.73804787739088,-23.946779577149478,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,99,-267.65156649704835,-190.2794400343958,-30.09803867893801,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,100,-473.7955101669747,-93.17012651828598,337.14976690623416,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,101,137.3846110933958,-388.3925269161115,-208.83467814611728,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,102,491.6836321201812,366.20231715821586,87.49647887836493,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,103,-153.0075306505073,-388.107043760075,326.23045281720505,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,104,358.8262167106404,-186.7280267317454,444.5340919193067,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,105,-284.0215765725254,-336.37985502257703,-165.16036611888356,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,106,428.58415197029126,266.8872571171458,-262.83488009881535,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,107,-289.5212505454352,105.34585462887007,-190.99155219730662,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,108,225.39419875745264,-385.4357662491241,275.83996816124267,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,109,104.36703006301565,-320.03526395752306,325.0955987143843,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,110,361.05723793505587,385.2232048693349,-271.3112582047728,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,111,176.55281813944526,251.5986720326402,-99.46174233386897,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,112,434.5816284773387,204.78523880204506,439.16744500765077,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,113,73.48509836080378,-128.9992070163375,-30.14143592273242,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,114,411.51036941165364,432.6800394680854,392.36489010180776,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,115,479.8185688101706,-142.26689504867994,-166.34023856378934,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,116,-23.838761773391422,-258.00775416100964,213.7426456820863,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,117,71.54138213727795,-167.58436901220523,-417.82808948296775,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,118,-199.77934019633233,-110.99007439957792,-308.3004254258626,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,119,-407.4702430611576,174.93310946207586,-19.993011602018207,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,120,157.2280999734238,-170.77844861394655,275.4402809642987,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,121,-329.46431453296657,313.7177713581593,-402.3971517751072,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,122,-433.8676094510222,-335.1876922740036,-116.0572923511452,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,123,-416.2188675972675,47.055283391596596,-450.9436052047038,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,124,-423.8085639622135,4.164709127365973,27.186054341491577,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,125,-229.86121448617442,432.88928196015263,376.2745949180624,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,126,201.05478703894184,-342.2421267650362,95.23953770782731,-4.440892098500626e-16,1.0,90.0,0.0,1.0
