sequence,sequence_index,TR,readout,spin,x,y,z,longitudinal,transverse,phase,Sx,Sy
dwi_te_80_bval_2.seq,1,1,1,119,-407.293845379572,174.86747961005494,-16.10559860335788,-2.220446049250313e-16,1.0,90.39547638546719,-0.006902310232600212,0.999976178773001
dwi_te_80_bval_2.seq,1,1,1,120,157.52276305824032,-170.45032842218143,275.56446318437,-2.220446049250313e-16,0.9999999999999999,89.66541243070242,0.005839621530314395,0.9999829492648274
dwi_te_80_bval_2.seq,1,1,1,121,-306.1026513254649,309.5138599208757,-372.7545553677917,0.0,1.0,-85.17853540596025,0.08405115141769597,-0.9964614412737502
dwi_te_80_bval_2.seq,1,1,1,122,-460.9780177276408,-324.5591377655394,-99.93306512950006,-2.220446049250313e-16,1.0,70.08775133299423,0.34058055682336147,0.9402153393313093
dwi_te_80_bval_2.seq,1,1,1,123,-406.39526667008704,44.357313962137646,-460.09280320146206,-2.220446049250313e-16,1.0,150.25970171825793,-0.8682828248579587,0.49606948712522464
dwi_te_80_bval_2.seq,1,1,1,124,-411.5599826876582,28.297292738975585,49.51346441829837,-2.220446049250313e-16,1.0,160.28144039648214,-0.9413613014380787,0.33740020769822704
dwi_te_80_bval_2.seq,1,1,1,125,-230.1821293939548,432.25707441207885,393.025537938634,-2.220446049250313e-16,1.0,90.10563873736191,-0.0018437427400140862,0.9999983003049099
dwi_te_80_bval_2.seq,1,1,1,126,186.2329033333921,-337.1778467119162,95.25000749017516,-2.220446049250313e-16,1.0,-99.0093052045936,-0.1565948699412165,-0.9876629216023519
dwi_te_80_bval_2.seq,1,1,1,127,484.53694319623526,194.13101246605058,12.959727224867285,-2.220446049250313e-16,1.0,89.64908316860328,0.006124615817897613,0.9999812443646546
dwi_te_80_bval_2.seq,1,1,1,128,-235.46292080303743,-329.05602175908297,-260.9435255443331,-2.220446049250313e-16,1.0,-61.671765930827405,0.4745220308693803,-0.8802436266282188
dwi_te_80_bval_2.seq,1,1,1,129,0.912519619301383,-251.56793923529884,-4.090654163517449,-2.220446049250313e-16,0.9999999999999999,136.09330394261136,-0.7204700701027412,0.6934860330865725
dwi_te_80_bval_2.seq,1,1,1,130,36.183634632659995,-507.8665753870529,46.7791604937585,-2.220446049250313e-16,1.0,-119.73696019267732,-0.49601889956601225,-0.8683117247125725
dwi_te_80_bval_2.seq,1,1,1,131,231.27954392158543,113.43297442809539,-77.68202110449603,0.0,1.0,142.0437330008731,-0.7884804490932463,0.6150598193653302
dwi_te_80_bval_2.seq,1,1,1,132,-289.6394681637668,-477.8940577780762,-341.5055000240722,0.0,1.0,90.08009108226452,-0.001397852631768909,0.9999990230035327
dwi_te_80_bval_2.seq,1,1,1,133,-306.1605211687197,144.3946972306498,228.5351810624098,-2.220446049250313e-16,1.0,-84.5876908154205,0.09432219349537854,-0.9955417237937445
dwi_te_80_bval_2.seq,1,1,1,134,105.55623453001498,443.9843920650357,62.94170208633809,-2.220446049250313e-16,0.9999999999999999,79.30401170929463,0.18559781480383902,0.9826257940538909
dwi_te_80_bval_2.seq,1,1,1,135,-121.0705490528323,99.42709203199661,353.7503728141957,-2.220446049250313e-16,1.0,175.64693975501132,-0.9971152699360545,0.07590216373957477
dwi_te_80_bval_2.seq,1,1,1,136,-508.3383749678601,265.74153836047356,-255.08531860257298,-2.220446049250313e-16,1.0,-24.859794575020715,0.9073392389558785,-0.4203992215156532
dwi_te_80_bval_2.seq,1,1,1,137,218.5592404566741,250.64912462021636,285.49608854267836,-2.220446049250313e-16,1.0,84.62554682267773,0.09366440662366653,0.9956038262942929
dwi_te_80_bval_2.seq,1,1,1,138,-401.0177092727166,11.853519126789093,175.3770132851116,0.0,1.0,-131.85235601446948,-0.6672133965403548,-0.744866621266575
dwi_te_80_bval_2.seq,1,1,1,139,321.7100703424223,87.37175346717554,-416.0673790717877,-2.220446049250313e-16,1.0,89.95198812973831,0.0008379651180389654,0.9999996489071689
dwi_te_80_bval_2.seq,1,1,1,140,-134.35034783781185,124.61858985260714,-68.45632351230041,-2.220446049250313e-16,0.9999999999999999,89.63111404481924,0.006438230003135446,0.9999792743824376
dwi_te_80_bval_2.seq,1,1,1,141,-52.934067627921074,339.7013007512096,196.23719751928883,-2.220446049250313e-16,1.0,88.61294506557908,0.024206310958361118,0.9997069843258009
dwi_te_80_bval_2.seq,1,1,1,142,475.7484733163714,170.17295196778235,-53.46692828816011,-2.220446049250313e-16,1.0,89.58534761425562,0.007236986209384348,0.9999738126724145
dwi_te_80_bval_2.seq,1,1,1,143,107.05310605320386,458.95664546904123,-255.95849178966498,-2.220446049250313e-16,1.0,-73.30784586291429,0.2872293566401585,-0.957861835905409
